Restaurant Name,Original food Item
TacoTime,"Limeade, Mango Pineapple - 16 oz (Select Stores Only)"
Protein House,"Cookies and Cream Coffee, 24 oz with Flavor Choice Sugar Free Vanilla Flavor"
High Liner,Cracked Peppercorn Tilapia
Silver Mine Subs,BBQ Sauce for Small Sub
Concord Foods,"Smoothie, Chocolate Banana"
Frullati Cafe & Bakery,"Rustic Veggie Melt Panini Sandwich, Focaccia"
Vocelli Pizza,Meatball Marinara Pasta with Linguini - Family
Drew's,Raspberry Dressing & Quick Marinade
Nick-N-Willy's Pizza,"Roman Feta Pesto Pizza, Large"
DiGiorno,Three Meat Pizza
Protein House,"Caramel Macchiato Iced Coffee, 16 oz with Milk Choice Almond Milk"
Cold Stone Creamery,Nilla Wafers
Taco Bell Canada,Bean Crunchy Taco Supreme
Sadaf,"Basmati Rice Mix, Herb Rice"
Yoshinoya,Teriyaki Skinless Chicken & Vegetables
Duchess Shoppe,Fluff Filled Bismark
Lion's Choice,"Hot Fudge Sundae, Regular"
Emerils,"Stock, Beef Flavored, Organic"
Cold Stone Creamery,"Coconut Ice Cream, Love It"
Concord Foods,"Bacon Bits, Imitation, Hickory-Smoked"
Chick-fil-A,"Frosted Lemonade with Diet Lemonade, Small"
Tully's Coffee,Chicken Caesar Salad
Sadaf,Mediterranean Couscous
Furr's Family Dining,Sweet Corn
Portillo's,"Mostaccioli, Lunch"
Wild Oats Marketplace Organic,"Cereal, Frosted Corn Flakes"
Nick-N-Willy's Pizza,"Fresh Jalapeno Burn Pizza with Chicken, Personal"
YoCream,Hawaiian Pineapple
Wg Grinders,Sirloin Steak Grinder
White Spot Restaurants,"Benedicts and Bowls, Add Side of Fruit"
Rushing Waters,Wild Alaska Salmon
Vocelli Pizza,Chicken Pesto Pasta with Linguini - Family
Pinkberry,"Cinnamon Churro Yogurt, Small"
Tabatchnick,Barley & Mushroom Soup
Bimbo,Large White Bread
Burrito Boyz,"Large Whole Wheat Burrito, Sweet Potato"
Tim Horton's,Apple Fritter Donut
The Hungry Hobo,Chicken Breast & Provolone Grilled Sandwich
Ninety Nine Restaurants,99 Country Chicken Gravy Add On
Baton Rouge Steakhouse & Bar,Mixed Side Salad
Concord Foods,"Guacamole Mix, Classic, Mild Flavor"
Frullati Cafe & Bakery,Cheddar
De Dutch Pannekoek House,"Omelette, Boeres with Fruit"
Tom's,"Fried Pork Skins, Vinegar & Salt"
America's Taco Shop,Al Pastor Torta
Taco Bell Canada,Fresco Steak Burrito Supreme
World of Beer,"WOB Chicken Wings, 5 piece with Buffalo Hot Sauce"
KA-ME,Stir-Fry Mushrooms
The Habit Burger Grill,Chicken Sandwich on Ciabatta
Krispy Kreme,Glazed Chocolate Cake Doughnut
Marvel,"Chewy Granola Bar, Peanut Butter Chocolate Chips"
Frullati Cafe & Bakery,Ham And Egg Bagel
Tim Horton's,Strawberry Dip Donut
Crazy Bowls & Wraps,Garlic Ginger Edamame
Protein House,"Cookies and Cream Iced Coffee, 16 oz with Flavor Choice Hazelnut Flavor"
Tim Horton's,"Iced Mocha Latte, Large"
Vocelli Pizza,Chocolate Cake - Party Tray
Protein House,Frozen Yogurt
White Spot Restaurants,Sweet Potato Fries
Pepperjax Grill,Jalapenos
Cold Stone Creamery,Raspberries
Wild Oats Marketplace Organic,Diced Sweet Potatoes
Christie's,Mince Alors! Bretzels Enveloppes d'un Enrobage Chocolate
Mike's Restaurants,2 Eggs Any Style with Cretons
The Hungry Hobo,#16 Reuben Sandwich
Mimi's Cafe,Turkey Sausage and Eggs
East Side Mario's,"Julienne Chicken, Lunch Pizza Topping"
Vanini,Dark Chocolate with Pear and Cinnamon
Coffee Culture,Everything Bagel
Chick-fil-A,Cobb Salad without Chicken
Thundercloud Subs,"Genoa Salami Sub, Large"
Bruster's Real Ice Cream,"Banana Chocolate Chip Ice Cream in a Dish, Small"
Krispy Kreme,"Iced Original Kreme Coffee with 2% Milk, 16 fl oz"
TacoTime,Chicken Ranchero Burrito
Cereality,"S'More Than You Know, 2%, Small"
Lion's Choice,"Original Roast Beef Sandwich, No Butter or Seasoning"
Weight Watchers,"Brownie Bliss, Triple Chocolate"
Tasti D-Lite,Sweetened Coconut Flakes Topping
World of Beer,Fried Shrimp Entree
The Habit Burger Grill,Blue Cheese Dressing
Tyson,"Wings, Sriracha Lime"
Sadaf,Herbs & Beans Vegetarian Casserole
Pepperjax Grill,House Italian Dressing
Jack Astor's Bar & Grill,"Add-On, Twice Baked Potato"
Chickpea,Pickle
Chicken Shack,"Bar-B-Que Sauce, Original"
Nick-N-Willy's Pizza,"Garden Salad, Side"
Pretzelmaker,"Cinnamon Sugar Pretzel Bites, Regular"
Dare,"Soft Cookies Bear Paws, Baked Apple"
Portillo's,Peasant Pasta
Baton Rouge Steakhouse & Bar,Burger with French Fries
Charley's Philly Steaks,"Hi-C Flashin Fruit Punch, Large"
Frullati Cafe & Bakery,"Strawberry Banana Smoothie, Large"
Koyo,"Rice Cakes, Mixed Grain"
Dare,Breton 7 Grain Crackers
TacoTime,Picante sauce
White Spot Restaurants,English Muffin
Purebread Deli,Bagel And Lox
Tim Horton's,Old Fashion Plain Donut
Roy Rogers Restaurants,Milk
Port of Subs,Pinwheel Tray
Pizza Pizza,"X-Large Pizza Slice, Chipotle Steak"
Papa Murphy's,Cowboy - Thin Large Slice
Furr's Family Dining,Butter Chess Pie
Roti,Feta Cheese
Veggie Patch,"Classic Falafel, Chickpeas & Spices"
Sobeys,Honey Maple Smoked Ham. Sliced
World of Beer,"Baby Back Ribs, Half Rack"
Duke's,Original Angus Beef Jerky
Lifeway,"Kefir, Raspberry"
Cafe Zupas,"Thai Peanut Sauce, Half"
Baskin Robbins,"Coke Float (With Soft Serve), Small"
Wild Oats Marketplace,Organic Parmesan & Romano Pasta Sauce
World of Beer,Salted Caramel Cookie Skillet
Firehouse Subs,Meatball - Medium *contains gluten
Coffee Culture,Chicken Caesar Wrap
America's Taco Shop,"Jamaica, 20 oz"
Harris Teeter,Lite Butter Syrup
The Pickle Barrel,Bbq Chicken Breast Burger
Jamba,"Caribbean Passion Smoothie, 28 fl. oz."
Earls,Steamed Jasmine Rice
Vocelli Pizza,Medium Quattro Cheese Pizza Slice
Sea Pak Shrimp Co.,Tilapia Tenders
Jamba,Blueberries
Ameci Pizza & Pasta,Antipasto Salad
Charley's Philly Steaks,"Dr. Pepper, Large"
Portlock,Smoked Salmon Pate
Protein House,"Peppermint Mocha Coffee, 24 oz with Milk Choice Soy Milk"
Chickapea,Chickpea Lentil Shells & Cheese
Pepperjax Grill,Sliced Cheese
TacoTime,Guacamole
Northern Chef,"Chilean Sea Bass, Skinless Portions, Wild Caught"
Bimbo,Sugared Donuts
Mimi's Cafe,Buttermilk Griddlecakes with Pork Sausage
Golden Spoon Frozen Yogurt,Espresso Frozen Yogurt
The Hungry Hobo,Chicken Breast & Provolone & Mushrooms Grilled Sandwich
America's Taco Shop,"Cheese Quesadilla, Regular"
Coffee Culture,"Broccoli And Cheese Soup, Side"
Mandy's,"Hard Candy, Butterscotch"
Purebread Deli,English Muffin
Magic Wok,Veggie Teriyaki Bowl
DiGiorno,"Pizza, Cheese Stuffed Crust, Supreme"
Charley's Philly Steaks,"Pickles, Large Cheesesteak Topping"
Tropical Smoothie Cafe,Mango Magic Smoothie
Charley's Philly Steaks,"Coleslaw, Large"
Pinkberry,"Mixed Berry Smoothie, 16 fl oz"
Roy Rogers Restaurants,"Unsweet Tea, 12 oz"
Horizon,"Classic Mac, Macaroni & Mild Cheddar Cheese"
Familia,"Swiss Crunch Muesli Cereal, High Fiber and Low Fat Fortified Multigrain"
Concord Foods,"Roasted Potato Seasoning Mix, Bacon & Chive Flavor"
Crazy Bowls & Wraps,High Protein Bowl
Earls,Jerk Chicken And Rice
Papa Murphy's,Fiesta Chicken - Crustless Slice
Nick-N-Willy's Pizza,Chocolate Chunk Cookie
Baton Rouge Steakhouse & Bar,Atlantic Salmon Filet (lunch)
Koyo,Mushroom Ramen Noodles
America's Taco Shop,"Chorizo and Egg Burrito, Regular"
Drew's,Harvest French Dressing & Marinade
Nalley Fresh,Asian Wrap
Quaker Steak & Lube,"Breaded Boneless Wings, 100 (1 serving) with Wing Sauce Choice Thaisian"
High Liner,"Seasoned Breaded Fish Fillets, Fromage Parmesan Cheese"
Furr's Family Dining,Country-Style Green Beans
Ninety Nine Restaurants,99 Entree Accom. Rice Pilaf
Bimbo,"Buns, Hamburger"
Burrito Boyz,Sweet Potato
Taco Bueno,#1 The Muchaco Chicken Crispy Beef Taco
Cereality,"Pb&B Crunch, Skim, Small"
A&W (Canada),"Strawberry Milkshake, 20 oz"
241 Pizza,"Pepperoni Pizza, Small Slice"
Protein House,"Caramel Macchiato Iced Coffee, 16 oz with Milk Choice Whole Milk"
Tony Roma's,"Fall Off The Bone Baby Back Pork Ribs, Hardwood Slow Smoked"
Northern Chef,"Calamari, Rings & Tentacles"
Safeway Select,"Ice Cream, Salted Caramel Pretzel"
Mandy's,Rich Chocolate Cookie Thins
Pinkberry,"Just Fruit Tropical Mango, Mini"
Thundercloud Subs,"Smoked Chicken Low-Fat Sub, Large"
Green Beans Coffee,Filled Cheese Butter Croissant
White Mountain,"Bulgarian Yogurt, Organic"
Wild Oats Marketplace,Quinoa & Brown Rice Blend
East Side Mario's,Sausage And Peppers Penne (Small)
Veggie Patch,"Crispy Chik'n Cutlet, Meatless"
Delmonico's Restaurant,Classic 1837 Steak Sauce
Baskin Robbins,Sugar Cone
The Hungry Hobo,Chili
Pepperjax Grill,Ranch Dressing
East Side Mario's,Chicken Wings Starter
DiGiorno,"Pizza, Italian Style Meat Trio"
KA-ME,"Thai Rice Noodles, Stir Fry"
Bruster's Real Ice Cream,"Chocolate Marshmallow Ice Cream in a Dish, Small"
Just Fresh,"Salad, The Chef"
Thundercloud Subs,"Turkey Sub, Large"
Yoshinoya,Asian BBQ Wings Plate - 4 piece
Tai Pei,Sriracha Chicken
Boneheads,Bonehead's (Piri) Shrimp
Yogli Mogli,Thin Mint Cookies
Coffee Time,North Atlantic Clam Chowder
Tai Pei,Kung Pao Chicken
Purebread Deli,Ranch Dressing
Yoshinoya,Teriyaki Chicken Bowl - Regular
Frullati Cafe & Bakery,Protein-Whey
Moxie's Classic Grill,Garlic Baguette
Coffee Culture,Egg & Cheese Bagel With Bacon
Frullati Cafe & Bakery,Bacon
Nick-N-Willy's Pizza,"Fresh Jalapeno Burn Pizza with Beef, Medium"
Port of Subs,Classic Sub #12 - 24 inch X-Large
Tai Pei,General Tso's Spicy Chicken
Tyson,Beef Steak
The Pickle Barrel,Lobster Grilled Cheese
Pepperjax Grill,"French Fries, Large"
Buddy's Bar-b-q,"Lemonade, Medium"
Ninety Nine Restaurants,99 Boneless Buffalo Wings Crowd Pleazer
Dell' Alpe,Crushed Tomatoes
Boneheads,Hot Boneless Breast Chicken
Smoothie King,Milk Chocolate Almonds
Triple O's,"Strawberry Milkshake, Regular"
Tai Pei,Teriyaki Chicken
Magic Wok,Garlic Chicken
Baskin Robbins,Fancy Sugar Cone With Almonds
Del Monte,"Lima Beans, Green"
America's Taco Shop,Carne Asada Tacos
Quaker Steak & Lube,"Biker Chicken Salad, Serves 10-15 (15 servings) with Dressing Choice Fat Free Italian"
Tom and Chee,Side Salad without Dressing
Jamba,Sliced Almonds
Happy Joe's,"Combo Plus Pan Crust Pizza, 12 inch"
Protein House,Sexy Bitch Bowl with Half Brown Rice and Half Quinoa
Uncle Ben's,Fast & Fancy Chinese Fried Rice
Russo's New York Pizzeria,"Mulberry Pizza 16 inch, Slice"
Firehouse Subs,Oven Baked Lay's BBQ
Ameci Pizza & Pasta,Manicotti
Silver Mine Subs,Cheddar Cheese for Large Sub
Benny's,"Bagel Dogs, Polish Sausage"
Tabatchnick,Classic Wholesome Chicken Broth
Natural Sea,"Solid White Albacore Tuna, Wild Caught"
Purebread Deli,Add Bacon to Breakfast Sandwich
Moxie's Classic Grill,Cheese Pizza
Tasti D-Lite,"Mango Greek Frozen Yogurt - Vanilla Soft Serve, 5 oz (Gallon Recipe)"
Tasti D-Lite,"Oreos 'n Cream - Vanilla Soft Serve, 10 oz (Gallon Recipe)"
Russo's New York Pizzeria,"Roasted Peppers Topping, Party"
Tijuana Flats,"Taco Filling, Ground Beef and Refried Beans (1 taco)"
Drews,Soy Ginger Dressing & Quick Marinade
Yoshinoya,Teriyaki Skinless Chicken Bowl - Large
Lifeway,Strawberry Milk Smoothie
Mike's Restaurants,Neapolitan 6-Inch Traditional Pizza
Roti,Garlic Sauce
Tropical Smoothie Cafe,Health Nut with Whey Smoothie
Whitey's Ice Cream Grocery,"Ice Cream, Chocolate Malt"
Perkins Restaurant And Bakery,Fudge Brownie Supreme
Tom's,"Potato Chips, Vinegar & Salt"
Mancini,"Peppers, Roasted, Sweet"
Earls,Vegan Teriyaki Rice Bowl
Weight Watchers,Double Chocolate Muffin
Tropical Smoothie Cafe,Matcha Green Tea
Kitchens Seafood,Jalapeno Shrimp
TacoTime,"Limeade, Mango Pineapple - 32 oz (Select Stores Only)"
Pampa,Smoked Clams in Oil
Cold Stone Creamery,"Ghirardelli Chocolate Ice Cream, Love It"
Harris Teeter,Mixed Berry Snack
Tasti D-Lite,"Creme Brulee - Vanilla Soft Serve, 10 oz (Gallon Recipe)"
Pampa,Plantain Chips
Yogli Mogli,Peach Mango Tart
Chickapea,"Pasta, Organic Chickpeas & Lentils"
Taco Bueno,Chicken Taco Rollup Kids Meal with High Cal Drink & Applesauce
Tom's,Nacho Cheese Tortilla Chips
Triple O's,Add Sauteed Mushrooms
Purebread Deli,"Dr. Pepper, Small"
Furr's Family Dining,Coconut Chicken Tenders
World of Beer,"Baby Back Ribs, Full Rack"
Just Fresh,Small Mandarin Salad
O'charley's,"Gourmet Salsa, Medium"
DiGiorno,"Thin & Crispy Pizza, Tomato Mozzarella with Pesto"
Henny's,Tempeh
Tim Horton's,"Brewed Iced Tea, Sweetened, Large"
Wayback Burgers,Buffalo Blue Dipping Sauce
TacoTime,Black Olives
Sea Choice,Bay Scallops
Triple O's,Monty Mushroom Burger
Thundercloud Subs,"Smoked Chicken Sub, Small"
Weight Watchers,"Brownie Bliss, Peanut Butter"
Vocelli Pizza,Large Thin Crust Spring Veggie Pizza Slice
Duchess Shoppe,White Chocolate Macademia Nut Cookie
Russo's New York Pizzeria,"Vegetarian Pizza 12 inch, Slice"
Chick-fil-A,Light Balsamic Vinaigrette Dressing
A&W (Canada),"Coleslaw, Individual"
Furr's Family Dining,Hot Blackeyed Pea Salad
Duck Donuts,"English Muffin, Bacon Egg And Cheese"
Our Family,"Gravy, Beef"
Blimpie,"Crush Orange Soda, 21 oz"
Good Times Burgers & Frozen Custard,"Diet Dr. Pepper, Medium"
Crazy Bowls & Wraps,Black Bean & Green Chile Egg Roll
East Side Mario's,Side Plum Sauce
Safeway Select,"Ice Cream Cake, Vanilla Ice Cream & White Cake"
Mimi's Cafe,Thousand Island Dressing
Mike's Restaurants,"International Breakfast with Bacon, Ham & Sausages"
Bruster's Real Ice Cream,"Cotton Candy Explosion Ice Cream in a Dish, Regular"
Tabatchnick,Split Pea Soup
Mike's Restaurants,Field of Dreams 12-Inch Thin Crust Pizza
Protein House,SHRDD Veggie Omelette
White Spot Restaurants,Kids Steamed Broccoli
Regal Springs,Tilapia
Portillo's,Combo Sandwich
Northern Chef,Seafood Medley
Yogli Mogli,White Chocolate Macadamia
Portillo's,Chocolate Eclair Cake
Krispy Kreme,"Doughnuts, Glazed Apple Pie"
Mike's Restaurants,"Superstar Poutine, Large & Delivery Serving"
Riley's,Peppered Beef Jerky
Christie's,"Cookies, Fig Newtons"
The Pickle Barrel,"Steak Fajitas, Half Pound"
Lion's Choice,Large Roast Beef Sandwich on Steak Bun
Safeway Select,"Chicken Strips, Buffalo-Style"
TacoTime,"Chimi Platter, Chicken"
Tasti D-Lite,"Buttercrunch Mania - Vanilla Soft Serve, 5 oz (Gallon Recipe)"
Blimpie,"Minute Maid Limeade, 16 oz"
Garden Fresh Gourmet,Salted Kettle Style Tortilla Strips
Chickpea,Roasted Jalapeno Hummus
Silver Mine Subs,Roast Beef for Large Coeur D'Alene Sub
Bruster's Real Ice Cream,"Black Raspberry Cheesecake Ice Cream on a Waffle Cone, Small"
Ninety Nine Restaurants,"99 Russet Mashed Potatoes, Side"
Cereality,Cap'N Crunch
Papa Murphy's,Cream Cheese Frosting
Mimi's Cafe,Roasted Half Chicken with Add a Shrimp Skewer
Chaney's,Milk
Taco Bell Canada,Bean Soft Taco Supreme
Crazy Bowls & Wraps,Jerk Lettuce Wrap
Happy Joe's,"Fire-Roasted Vegetables Pan Crust Pizza, 12 inch"
Kojo,Plant-Based Cracked Pepper Jerky
Tom's,Hot Fries
Planet Wings,"Grilled Chicken Hero with Lettuce, Tomato, Onion and No Sauce"
Koyo,"Organic Rice Crackers, Black Sesame Tamari"
Krispy Kreme,"Caramel Latte with Skim Milk, 12 fl oz"
Uncle Ben's,Bistro Express Wholegrain Brown
Henry & Lisa's Natural Seafood,"Fish Nuggets, Whole Fillets"
Planet Wings,Sweet Potato Fries
La Boulangere,"French Brioche, Hand Braided"
Crazy Bowls & Wraps,Caesar Wrap
241 Pizza,"Jalapeno Hawaiian Pizza, Large Slice"
The Habit Burger Grill,Thousand Island Dressing
Concord Foods,Caramel Apple Kit
Protein House,"Snickers Hot Coffee, 16 oz"
Happy Joe's,"Matador Pan Crust Pizza, 15 inch"
Mike's Restaurants,Kids Mini Choco-Fruits French Toast
Tasti D-Lite,"Tapioca Pudding - Vanilla Soft Serve, 5 oz (Gallon Recipe)"
Vocelli Pizza,Bone-In Wings - Mango Habanero - Party Tray
Pepperjax Grill,"Chips, Kettle"
Happy Joe's,"Beef Pan Crust Pizza, 15 inch"
Bruster's Real Ice Cream,"Turtle Ice Cream on a Sugar Cone, Small"
Tabatchnick,Organic Black Bean Soup
Rushing Waters,"Burgers, Wild Alaska Salmon"
Fratelli Mantova,Organic Pesto all Genovese with Basil
KA-ME,Sweet Chili Sauce
Magic Wok,"Fried Rice, Vegetable"
Purebread Deli,Cheese Danish
Krispy Kreme,Double Dark Chocolate Doughnut
Bruster's Real Ice Cream,"S'Mores Ice Cream in a Dish, Regular"
Fresh Gourmet,Dried Blueberries & Cranberries
KA-ME,"Sauce, Black Pepper"
Bimbo,7 Grain Bread
YoCream,Strawberry Lemonade
Perkins Restaurant And Bakery,Build Your Own Omelet (Add Toppings)
Holly's,Multigrain Oatmeal
Harris Teeter,Pepperoni
Back Yard Burgers,"Sobe Lifewater, Yumberry, Large, 32 oz."
Cracker Barrel,Aged Reserve Cheddar
YoCream,Chocolate Caramel Turtle
Tai Pei,Beef & Broccoli
Cook's,Pantry Organic Whole Beets
Perkins Restaurant And Bakery,"Chocolate Milk, Small"
Mimi's Cafe,Brioche French Toast with Eggs Any Style
Quaker Steak & Lube,"Breaded Boneless Wings, 50 (15 servings)"
Rachael Ray,Beef Flavored Stock
Krispy Kreme,Chocolate Iced Doughnut with Kreme Filling
America's Taco Shop,Al Pastor Tacos
Nalley Fresh,Brown Rice Bowl
Magic Wok,Broccoli Beef
Baton Rouge Steakhouse & Bar,Linguini Primavera
Frullati Cafe & Bakery,Ham
Sadaf,"Tahini, All Natural Pure Ground Sesame Seeds"
YoCream,Key Lime
Chick-fil-A,"Freshly-Brewed Iced Tea Sweetened, Large"
Nanny's,Pecan Praline
Baton Rouge Steakhouse & Bar,Cream of Mushroom Artichoke Soup
A&W (Canada),Mozza Burger
Concord Foods,"Broccoli Soup, Cheddar Cheese Flavor"
Jack Astor's Bar & Grill,"Chicken Wings, Sauce, Honey Garlic"
Taco Bueno,#7 Mucho Nachos Beef Combo with Low Cal Drink
Happy Joe's,"Tomato Original Crust Pizza, 15 inch"
Just Fresh,"Quesadillas, Fiesta Fresco"
White Mountain,Dinner Rolls
World of Beer,BYO Burger with Pepper Jack Cheese
Yoshinoya,Sierra Mist
Chick-fil-A,"Spicy Chilled Grilled Chicken Sub Sandwich Tray (Per Half Sandwich), Large"
White Spot Restaurants,"Our Famous Burgers, Half Spot Salad"
Mimi's Cafe,Cinnamon Roll French Toast with Turkey Sausage
Dare,"Cookies, Bear Paws, Baked Apple"
Del Monte,Mango Pineapple in Light Syrup
Moxie's Classic Grill,Herbed Oven Roasted Chicken
Port of Subs,Vegetable Garden Splendor - 15-20 Guests
Chickpea,Tomato
Duck Donuts,"Coffee, Medium"
Baskin Robbins,"Caramel Praline Cheesecake Ice Cream, 2.5 oz Scoop"
Jack Astor's Bar & Grill,World's Most Ridiculously Small Brownie
Boneheads,Chicken Breast
Firehouse Subs,Kid's Turkey Sub
Mimi's Cafe,Beer Battered Fish and Fries
The Pickle Barrel,Freddy's Tuna Salad
Silver Mine Subs,Kids Turkey & Provolone Cheese Sub
Baskin Robbins,"Icing On The Cake Ice Cream, 2.5 oz Scoop"
YoCream,Chocolate
Dari,"Couscous, Moroccan"
Duchess Shoppe,Crispy Chicken Parmesan
Safeway Select,"Pasta Sauce, Mushroom and Onion"
Mrs. Friday's,"Alaska Pollock, Panko Breaded"
Buddy's Bar-b-q,"Vanilla Milk Shake, Regular"
Mimi's Cafe,Chicken and Quinoa Mediterranean Salad
Tom's,Vitamin D Milk
Yoshinoya,Teriyaki Sauce Only
Safeway Select,"Chicken Rub, Sweet & Spicy"
Tyson,"Breakfast Flatbreads Topped with Egg, Cheese & Bacon"
Chick-fil-A,"Vanilla Milkshake, Large"
Vocelli Pizza,Chicken Alfredo Pasta with Penne - Party
East Side Mario's,"Gorgonzola Cheese, Lunch Pizza Topping"
Boneheads,Shrimp Taco
Russo's New York Pizzeria,"Pesto Chicken Pizza 12 inch, Slice"
Lifeway,"Frozen Kefir, Pomegranate"
Gail Ambrosius,Handmade Dark Chocolates
Nick-N-Willy's Pizza,Ken's Old Venice Italian Dressing
Krispy Kreme,Glazed Sour Cream Doughnut
High Liner,Honey Chipotle Salmon
Portillo's,Tuna Salad Sandwich
Duck Donuts,"Hot Chocolate, Medium"
Yoshinoya,Oatmeal Cookie
Lifeway,"Kefir Cultured Milk Smoothie, Peach"
Tai Pei,Firecracker Chicken
Nick-N-Willy's Pizza,"Pepperoni-N-Sausage Pizza, Personal"
Taco Bell Canada,Fresco Chicken Burrito Supreme
Candy's,Heavy Whipping Cream
Russo's New York Pizzeria,Wings Fra Diavolo
Our Family,"Cheese, Longhorn Style Colby"
TacoTime,"Limeade, Cherry Habanero - 32 oz"
Tijuana Flats,Extra Refried Beans (0.5 servings)
Del Monte,Fruit Burst
Horizon,"Cream Cheese, Reduced Fat"
Lion's Choice,Baked Potato with Butter and Sour Cream
The Pickle Barrel,House-Made Mashed Potatoes
Charley's Philly Steaks,"Fanta Orange, Large"
Tom and Chee,Coca-Cola Zero
Kaizen,"Whey Protein Isolate as Primary Protein SOurce, Ultra Whey, Double Chocolate"
The Pickle Barrel,Hoisin Lettuce Wraps
Bimbo,Banana Nut Pound Cake
Fresh Gourmet,"Tortilla Strips, Santa Fe Style"
Taco Bueno,Chicken Taco Rollup Kids Meal with Low Cal Drink & Applesauce
Tom and Chee,Gluten Free Bread
Duchess Shoppe,Cheese Burger with Swiss on Kaiser Bun
Good Times Burgers & Frozen Custard,"Diet Dr. Pepper, Large"
The Habit Burger Grill,Vanilla Sundae
Ninety Nine Restaurants,99 Sirloin & Seafood Trio Combo
Dars,White Chocolate Confectionery
Pretzelmaker,"Lemonade, Regular"
Coffee Culture,"Wicked Thai With Chicken Soup, Side"
Uncle Ben's,"Country Inn, Rice Pilaf"
Tom and Chee,Cheeseburger Soup
Whitey's Ice Cream Grocery,Chocolate Chip Cookie Dough
Duck Donuts,English Muffin With Jelly
Tai Pei,Chicken Chow Mein
Just Fresh,Santa Fe Chicken
East Side Mario's,Mini Mario's Fingers - Big Kids
Wayback Burgers,Mayonnaise
Concord Foods,"Smoothie Mix, Blueberry Banana with Flaxseed"
Blimpie,"IBC Root Beer, 28 oz"
The Hungry Hobo,Cauliflower
